Nova SBE — MSc Management — Courses 2025/26;;;;;;;
Course Code;Period;Course Name;ECTS;Faculty;Type;Also Available In;Notes
2414;S1;Financial Management;7;Luís Barbosa;Mandatory;—;
2581;S1;Advanced Financial Management;7;António Freitas Miguel;Mandatory;—;
2431;S1;Marketing Management;7;Filipa Rosado Pinto;Mandatory;—;
2430;S1;Advanced Marketing;7;Daniela Schmitt;Mandatory;—;
2584;S1;Strategy;7;Afonso Almeida Costa;Mandatory;—;
2459;S1;Advanced Strategy;7;José Campino;Mandatory;—;
2435;T1;Statistics III;3,5;Ana Amaro;Mandatory;—;
2786;T1;Research Methods in Management;3,5;Samantha Sim / Samantha Ortiz;Mandatory;—;
2336;T1;Human Resources Management;3,5;Filipa Rodrigues;Mandatory;—;
2336;T2;Human Resources Management;3,5;Filipa Rodrigues;Mandatory;—;
2463;T2;Advanced Topics in Human Resources Management;3,5;Jan Corstjens;Mandatory;—;
2434;T2;Statistics II;3,5;Ana Amaro;Mandatory;—;
2435;T2;Statistics III;3,5;Ana Amaro;Mandatory;—;
2786;T2;Research Methods in Management;3,5;Sofia Kousi / Samantha Ortiz;Mandatory;—;
2414;S2;Financial Management;7;Paula Antão;Mandatory;—;
2581;S2;Advanced Financial Management;7;Julio Crego;Mandatory;—;
2431;S2;Marketing Management;7;Filipa Rosado Pinto;Mandatory;—;
2430;S2;Advanced Marketing;7;André Trindade;Mandatory;—;
2584;S2;Strategy;7;Debtanu Lahiri;Mandatory;—;
2459;S2;Advanced Strategy;7;Aman Asija;Mandatory;—;
2336;T3;Human Resources Management;3,5;Filipa Rodrigues;Mandatory;—;
2463;T3;Advanced Topics in Human Resources Management;3,5;Jan Corstjens;Mandatory;—;
2435;T3;Statistics III;3,5;Ana Amaro;Mandatory;—;
2786;T3;Research Methods in Management;3,5;Jan Corstjens / Alison Holm;Mandatory;—;
2434;T4;Statistics II;3,5;Ana Amaro;Mandatory;—;
2435;T4;Statistics III;3,5;Ana Amaro;Mandatory;—;
2786;T4;Research Methods in Management;3,5;Guang Zeng / Alison Holm;Mandatory;—;
2232;S1;Applied Corporate Finance;7;Irem Demirci;Elective;International MSc Management;
2421;S1;Applied Entrepreneurship;7;Miguel Muñoz Duarte;Elective;International MSc Management;
2483;S1;Applied Social Entrepreneurship;7;Loic Pedras;Elective;International MSc Management;
2206;S1;Banking;7;Ana Lacerda;Elective;International MSc Management;
2327;S1;Brand Management;7;Sofia Kousi;Elective;International MSc Management;
2582;S1;Competitive Strategy: An Analytical Approach;7;Vasco Santos;Elective;International MSc Management;
2484;S1;Corporate Strategy and Transformation;7;Roberto Ragozzino;Elective;International MSc Management;
2648;S1;Diversity & Inclusion;7;Jenny Hoobler;Elective;International MSc Management;
2585;S1;Evidence-Based Practices for Wellbeing;7;Sofia Kousi & Samantha Sim;Elective;International MSc Management;
2652;S1;Fundamentals on Environment and Sustainability;7;Francisco Ferreira;Elective;International MSc Management;
2477;S1;Introduction to Programming;7;Ricardo Pereira;Elective;International MSc Management;
2229;S1;Investments;7;Ertunç Aydogdu | Martijn Boons | Nicholas Hirschey;Elective;International MSc Management;
2386;S1;Persuasion and Negotiation;7;Pedro Neves;Elective;International MSc Management;
2460;S1;Strategy Consulting;7;Constança Casquinho;Elective;International MSc Management;
2792;T1;AI in Organizations;3,5;Milton de Sousa;Elective;International MSc Management;
2613;T1;Asian Brands;3,5;Andrew Harrison;Elective;International MSc Management;
2128;T1;Competition Policy;3,5;Pedro Pita Barros;Elective;International MSc Management;
2329;T1;Consumer and Managerial Decision Making;3,5;Luis Martinez;Elective;International MSc Management;
2783;T1;Corporate Financial Risk Management;3,5;Fernando Anjos;Elective;International MSc Management;
2375;T1;Corporate Social Responsibility;3,5;João Loureiro Rodrigues;Elective;International MSc Management;
2389;T1;Customer Relationship Management;3,5;Elizabete Cardoso;Elective;International MSc Management;
2218;T1;Derivatives;3,5;Rafael Sequeira;Elective;International MSc Management;
2480;T1;Digital Strategy and Transformation;3,5;Adam Tatarynowicz;Elective;International MSc Management;
2454;T1;Doing Business in China;3,5;Andrew Harrison;Elective;International MSc Management;
2639;T1;Entrepreneurial Strategy;3,5;Roberto Ragozzino;Elective;International MSc Management;
2332;T1;Entrepreneurship;3,5;Nadim Habib;Elective;International MSc Management;
2416;T1;Family Business;3,5;Alexandre Dias da Cunha;Elective;International MSc Management;
2490;T1;Geoeconomics and International Relations;3,5;Paulo Portas;Elective;International MSc Management;
2689;T1;Hospitality Trends;3,5;Sérgio Guerreiro;Elective;International MSc Management;
2277;T1;Impact Investments;3,5;Yasmine van der Straten;Elective;International MSc Management;
2337;T1;Integrated Marketing Communications;3,5;Jorge Velosa;Elective;International MSc Management;
2388;T1;Leadership and Change Management;3,5;Filipa Castanheira;Elective;International MSc Management;
2473;T1;Negotiation;3,5;Luís Almeida Costa;Elective;International MSc Management;
2481;T1;Product Design and Development;3,5;João Castro;Elective;International MSc Management;
2376;T1;Project Management;3,5;Paulo Faroleiro;Elective;International MSc Management;
2352;T1;Quality Management;3,5;Ana Sofia Costa;Elective;International MSc Management;
2618;T1;Risk and Crisis Management;3,5;Sérgio da Silva Pinto;Elective;International MSc Management;
2446;T1;Small Business Management;3,5;Nuno Vasconcellos e Sá;Elective;International MSc Management;
2643;T1;Social Media Marketing;3,5;António Marinho Torres;Elective;International MSc Management;
2496;T1;Strategic Foresight and Scenario Planning;3,5;António Alvarenga;Elective;International MSc Management;
2468;T1;Technology Strategy;3,5;Adam Tatarynowicz;Elective;International MSc Management;
2364;T1;Venture Simulation;3,5;António Marinho Torres;Elective;International MSc Management;
2621;T2;Algorithmic Governance;3,5;Leid Zejnilovic;Elective;International MSc Management;
2215;T2;Auditing;3,5;Gonçalo Silva & Mário Freire;Elective;International MSc Management;
2440;T2;Big Data Analysis;3,5;Arash Laghaie;Elective;International MSc Management;
2622;T2;Blockchain Fundamentals;3,5;Daniel Obermeier;Elective;International MSc Management;
2448;T2;Business Model Innovation;3,5;João Castro;Elective;International MSc Management;
2329;T2;Consumer and Managerial Decision Making;3,5;Luis Martinez;Elective;International MSc Management;
2217;T2;Corporate Governance;3,5;António Nogueira Leite;Elective;International MSc Management;
2778;T2;Cybersecurity in Organizations;3,5;Mário Monteiro Marques;Elective;International MSc Management;
2491;T2;Data Visualization;3,5;Ji Rongjiao;Elective;International MSc Management;
2441;T2;Digital Marketing;3,5;António Marinho Torres;Elective;International MSc Management;
2480;T2;Digital Strategy and Transformation;3,5;Adam Tatarynowicz;Elective;International MSc Management;
2651;T2;Digital Transformation in Hospitality;3,5;Bruno Horta Soares;Elective;International MSc Management;
2649;T2;Energy and Climate Change;3,5;Júlia Seixas;Elective;International MSc Management;
2222;T2;Financial Statement Analysis;3,5;Marta Cota;Elective;International MSc Management;
2185;T2;Game Theory;3,5;Steffen Hoernig;Elective;International MSc Management;
2277;T2;Impact Investments;3,5;Yasmine van der Straten;Elective;International MSc Management;
2337;T2;Integrated Marketing Communications;3,5;Jorge Velosa;Elective;International MSc Management;
2339;T2;International Marketing Strategy;3,5;António Marinho Torres;Elective;International MSc Management;
2590;T2;Leading Social Enterprises with Impact in International Development;3,5;Filipe Alfaiate;Elective;International MSc Management;
2694;T2;Leading Transformation;3,5;Marco Berti;Elective;International MSc Management;
2493;T2;Marketing Analytics;3,5;Arash Laghaie;Elective;International MSc Management;
2204;T2;Mergers, Acquisitions, Restructuring;3,5;Pedro Carvalho;Elective;International MSc Management;
2346;T2;Modeling Business Decisions;3,5;Sreyaa Guha;Elective;International MSc Management;
2359;T2;Operations Management;3,5;Jiwen Ge;Elective;International MSc Management;
2500;T2;Performance and Progress;3,5;Filipe Alfaiate;Elective;International MSc Management;
2236;T2;Private Equity;3,5;Diogo Chalbert Santos;Elective;International MSc Management;
2785;T2;Product Management in Technology;3,5;Sam Reha;Elective;International MSc Management;
2588;T2;Science-Based Entrepreneurship and Innovation;3,5;Nuno Arantes e Oliveira;Elective;International MSc Management;
2690;T2;Shopper Marketing Management;3,5;Miguel Pinto Fernandes;Elective;International MSc Management;
2446;T2;Small Business Management;3,5;Nuno Vasconcellos e Sá;Elective;International MSc Management;
2468;T2;Technology Strategy;3,5;Adam Tatarynowicz;Elective;International MSc Management;
2232;S2;Applied Corporate Finance;7;Luís Barbosa | Rui Silva;Elective;International MSc Management;
2421;S2;Applied Entrepreneurship;7;Miguel Muñoz Duarte;Elective;International MSc Management;
2483;S2;Applied Social Entrepreneurship;7;Loic Pedras;Elective;International MSc Management;
2660;S2;Applied Sports Projects;3,5;Rui Biscaia;Elective;International MSc Management;
